name,freq,value
cix,1,PER
sõprus,1,PER
mihkel mut,1,PER
karin tammemägi,3,PER
facebook twitteris,1,PER
ansip ligi,1,PER
lunden,1,PER
heldur meerits indrek,1,PER
mart kadastiku,4,PER
schibste,7,PER
tatar,2,PER
bromma,1,PER
kalev meedia,1,PER
monzas luik,1,PER
mart kadastik,11,PER
hindrek,11,PER
rock summer,1,PER
mare saare,1,PER
mihkel kärmas,3,PER
elmo nüganen,1,PER
lindhi,1,PER
robin williams,1,PER
raju,1,PER
laurson,6,PER
part,1,PER
tarmo loodus,1,PER
ando kiviberg,6,PER
madiberk,1,PER
vilba,1,PER
hendrik agur,12,PER
priidu pärn,1,PER
jaak uudmäe,2,PER
jüri liim,2,PER
eimar veldre,2,PER
colin,1,PER
randel,1,PER
martin helme,107,PER
elme,3,PER
williams,4,PER
peeter rebane,9,PER
roosi,1,PER
mõttus,1,PER
robin,3,PER
erich krieger,1,PER
vjatšeslav leedo,25,PER
vichmann,2,PER
mihkel muti,3,PER
strugatskite,1,PER
aivar aivar,1,PER
danske bank,5,PER
juss pajunen,1,PER
eerik-niiles krossis,1,PER
mersch,1,PER
hannes rumm,17,PER
sellenbergi,1,PER
ever,1,PER
kersti kaljulaid,93,PER
valdo randperenimi,1,PER
yossi,1,PER
heimar,1,PER
meelis kaldoja anna-maria callas,1,PER
anna-maria galojani,2,PER
toomas kivimäele,1,PER
toomas kivimägi,3,PER
ardo ojasalule,1,PER
ojasalu,2,PER
kurt vonneguti,2,PER
tutanhamoni tutanhamon,1,PER
marune,7,PER
ilmar raag,22,PER
maal,2,PER
aleksandr solženitsõn,2,PER
ilmar ilmar,1,PER
ilmar,6,PER
põhjalas rebane,1,PER
tottenson,1,PER
friedrich kaasik,1,PER
johannes pur,1,PER
vikipeedias,1,PER
edgar savisaart,17,PER
silves koppel,1,PER
raimo kägu,1,PER
savisaart,2,PER
kross,14,PER
jüri saar,2,PER
tarmo lein,1,PER
likudi,1,PER
sirly,1,PER
jana,13,PER
ingermann,1,PER
vilen,1,PER
maire aunastele,2,PER
erik sakkov,4,PER
kai kimmel,1,PER
lea mändmets,1,PER
anvar,8,PER
mati talvik,2,PER
photoshop,1,PER
monica,2,PER
hewitt,1,PER
ardo aas,1,PER
reinar,1,PER
katjuša katjuša,1,PER
ainar kuku,1,PER
toomas kümmel ainar ruussaar,1,PER
berlusconi silvio berluscon,1,PER
ernesto,1,PER
preatoni,2,PER
ernesto preatonile,1,PER
berlusconile,2,PER
savisaar kristiina ojuland,1,PER
oliver kund,1,PER
ene-liis semper,3,PER
tiit ojasoo,23,PER
ainar ruussaar heldur meerits,5,PER
rainer laurits,1,PER
laurits,1,PER
arno sillat,1,PER
kõusaar mina,1,PER
imants,1,PER
mati mägi,1,PER
ville,1,PER
tarmo lausingu,1,PER
tarmo lausing,4,PER
lausing,1,PER
mihhalkov,2,PER
jossif vissarionovitš,1,PER
varek,1,PER
simpson,4,PER
toomas sepp,1,PER
shepart,1,PER
turovski aleksei,1,PER
office,1,PER
krista kiuru,1,PER
johan bäckmani,1,PER
kaido seil,1,PER
meelis meelis pai,1,PER
siiri sin,1,PER
heidmets,1,PER
lacto,1,PER
einar laigna,1,PER
sulev kõksi,1,PER
sulev kõksi sulev kõksi,1,PER
siigur,1,PER
ralf allikvee,2,PER
andres metspalule,1,PER
vagula eerik-niiles kross,1,PER
malone,1,PER
eerik-niiles krossile,4,PER
hafez assa,1,PER
ria novosti,1,PER
heinz valk,3,PER
ülo vooglaiu,1,PER
hardo aasmägi,1,PER
aleksei juncker,1,PER
kristjan vassil,1,PER
harri holst,1,PER
mart luik,334,PER
tiit veeber,1,PER
janek veeber,2,PER
margus linnamäe,9,PER
jüri lina,2,PER
endel sif,1,PER
toomas lõuna-inglis,1,PER
jäppinen,1,PER
grete,1,PER
atonen rosimannus,1,PER
mugur,1,PER
jüri aarma,3,PER
livingstone,1,PER
mihkel mikkelsaar,1,PER
kristjan vassili,1,PER
mihkel solvak,3,PER
karlova,1,PER
mihkel mikelsaar,1,PER
abdul turay,6,PER
männi,1,PER
hardo aas,1,PER
hallo,1,PER
saakašvili,5,PER
eerik-niiles krossist,2,PER
krista aas,1,PER
enn eesmaa,7,PER
interpol interpol,1,PER
artemi,1,PER
polanski,2,PER
rosimannus pentus,1,PER
anastassija rõbatšenko,2,PER
salman rask,1,PER
autorollo autorollo,1,PER
väino pentus,1,PER
rosimannus pentus-rosimannus rosimannus,1,PER
signe ratso,1,PER
priidu priidu,1,PER
vladimir weidmann,2,PER
vladimir beekman,1,PER
viktor jermakov,1,PER
weidmanni,1,PER
anti talur,1,PER
a. le coq,2,PER
indrek tarandile,4,PER
hõbemäg,3,PER
lenna ühtne,1,PER
alar karis,19,PER
nemvalts,1,PER
lenna,1,PER
karis,6,PER
ainar ruussaar eerik-niiles kross,4,PER
elisaga,1,PER
erkki ots,1,PER
kalev vapper,6,PER
külli,2,PER
dalia grybauskaite,1,PER
butkevičius,1,PER
urmas alender,3,PER
sirbi,1,PER
kaur kender,23,PER
rainer kristel,1,PER
kaurile,1,PER
toomas väljataga,2,PER
christine rain,1,PER
kaur kenderi,2,PER
meri kaur kenderi,1,PER
sirp,5,PER
kallis kallis,1,PER
sirp sirp,2,PER
sirpa,1,PER
tänak,1,PER
viagra,1,PER
hannes tartu,1,PER
krassin,1,PER
sven mikser ossinovsk,1,PER
aino,4,PER
andrus priit hõbemägi,1,PER
marcel vichmannile,2,PER
visnapadi,1,PER
rein langil,3,PER
valle-sten maine,2,PER
rosimannus michal,1,PER
silvi,2,PER
mait,3,PER
facebooki,15,PER
vike,1,PER
tuuna,1,PER
glaase,1,PER
helmut lang,1,PER
leonhard lapin,2,PER
andrei korobeinik,7,PER
korobeinik,4,PER
urmas kruuse,15,PER
tabula,1,PER
urve tiidus,6,PER
paul-eerik,1,PER
saller,1,PER
imre,1,PER
tiina lokk,1,PER
paul-eerik soome,1,PER
neeme järvi,11,PER
vardo rumessen,8,PER
kadri tali,5,PER
valdur rumessen,1,PER
gabriel,1,PER
allik agrippa,1,PER
priit briti,1,PER
jaan new,1,PER
elvis,1,PER
andrei korobeiniku,1,PER
kaju,1,PER
urve tiit,4,PER
rein langi,7,PER
rein langile,4,PER
urve urve,1,PER
järvit,1,PER
sadrile,1,PER
enno tammer,1,PER
sidorov,1,PER
sven sesterile,3,PER
taskilale,2,PER
juhan partsiga,2,PER
erika salumäe,1,PER
mart viisitamm,1,PER
rein kilgile,1,PER
elise,1,PER
elisa,2,PER
ivo linna,10,PER
margus kappel,1,PER
rai baltic,35,PER
toomas liiva,1,PER
alter,1,PER
martinson,2,PER
tõnu timm,4,PER
giovanni,1,PER
viktor nukka le,1,PER
viktor nukka,1,PER
andrus priit hõbemäg,1,PER
räsänen,1,PER
toomiku,1,PER
pärn ski,1,PER
kristjan port,1,PER
kärt karpa,1,PER
margus kübar,1,PER
vernadski,1,PER
daily,2,PER
ott karulin,2,PER
margus rein,1,PER
askar interile,1,PER
olav lobjakas,1,PER
lobjakas,2,PER
mari-liis lill,2,PER
märt tallinn-nõmme,1,PER
tamsar,2,PER
nissan,2,PER
nybit,1,PER
vilks,1,PER
mannerheim,1,PER
rai rail baltica,1,PER
stadler flirt,1,PER
ginger,3,PER
juku-kalle raidiga,1,PER
michelini,2,PER
gordon braun,1,PER
helme,28,PER
tiidrek,1,PER
zinedine zidane,1,PER
jatsenjuk,1,PER
mari benin,1,PER
l. ron,2,PER
enroni,1,PER
hannes luts,1,PER
otto katz,1,PER
marcel vichmann,2,PER
enron,2,PER
savisaar savisaar,2,PER
mall villem,1,PER
raul ollelt,1,PER
raul ollele,2,PER
hein,1,PER
andrus veerpalu,12,PER
veerpalu,5,PER
harald,1,PER
zarenkov,2,PER
srebrenicas,1,PER
african,1,PER
moldova aserbaidžaan,1,PER
perens internazionale,1,PER
pärnits internazionale,1,PER
gupta,1,PER
indian,1,PER
maario laas,2,PER
greete,1,PER
herkel kadri,1,PER
olari taali,1,PER
väike-karja sauna,1,PER
rubiksi tatjana,1,PER
tatjana ždanoka,3,PER
indrek kase,1,PER
ühtne,1,PER
kirsipuu,1,PER
mart nutt,5,PER
saddam hussein,2,PER
ainar ruussaar eerik-niiles krossi,1,PER
james reinsalu,1,PER
uku kuut,1,PER
olimpiada,1,PER
leonid brežnev,1,PER
kadi parts,1,PER
andrus andrus ansip,1,PER
kadri liik,4,PER
lavrovile,1,PER
jakunini,1,PER
muammar gaddaf,1,PER
william,2,PER
parex,1,PER
maria kelly,1,PER
garbage,1,PER
kristjan lepik tarkinvestor,1,PER
anvar anvar,1,PER
postimehes,1,PER
kalle muul,3,PER
mari-ann mari,1,PER
annemarile,1,PER
hannes võrno,13,PER
omarile,1,PER
tarand,21,PER
mart siimann,2,PER
brent,1,PER
alvar irl,1,PER
jüri luik,23,PER
ansip vanemuine,1,PER
narvatagune,1,PER
varik,1,PER
hornet,1,PER
rossar,1,PER
janukovitš,16,PER
viktor janukovitš,1,PER
janukovitšile,1,PER
kai aare,1,PER
tom transi,1,PER
tõnstein,1,PER
robert mugabe,2,PER
spyker,1,PER
frank sinatra,1,PER
boris cry,1,PER
boriss grebennikov,1,PER
winston churchill,2,PER
mailis reps,70,PER
angela merkelile,2,PER
henry kissingeri,1,PER
šoigu,1,PER
erkki bahovski,2,PER
andres sang,2,PER
peeter sookruus,2,PER
ainar ruussaar priit hõbemägi,1,PER
marianna,2,PER
james,1,PER
tamme,2,PER
jaak joala,10,PER
michal rosimannus,1,PER
altex,1,PER
kalle rai,1,PER
reinsalu parts,1,PER
siim-valmar kiisler,2,PER
mart laar kalju,1,PER
tanel padar,2,PER
helmen helmen,1,PER
helmen kütt,3,PER
tour,1,PER
mailis repsile,1,PER
kolga-jaan,1,PER
olga sõtnik,2,PER
filosoft savisaar,1,PER
urmas kruus,2,PER
urmas kruusel,1,PER
david may,1,PER
arnold rüütel arnold rüütel,1,PER
toobal anette,1,PER
toobal laasik,1,PER
urbo vaarmani,1,PER
urbo vaarmann,3,PER
urbo vaarman,1,PER
kalev,6,PER
marko kalju,2,PER
hanno tomberg,12,PER
kaljuveer,3,PER
tomberg,15,PER
santer,1,PER
erkki-sven tüür,1,PER
peep ilme,3,PER
margus laidre,4,PER
einar seli,1,PER
marko kaljuveer,4,PER
marko kaljuveerile,3,PER
kaljuveeri,1,PER
signe kiv,1,PER
raivo palm,1,PER
palm,1,PER
lauri leppik,1,PER
jyvaskylas,1,PER
crima,1,PER
deniss,6,PER
jevgeni krištafovitš,2,PER
mesmer,1,PER
hella,1,PER
lorraini,1,PER
jüri kask,2,PER
majakovski,1,PER
jaan jaanilinn,1,PER
juri gordejev,2,PER
vaba,5,PER
reindorff,1,PER
jaana toomik,1,PER
hillary,2,PER
monica lewinsky moonika,1,PER
helen,4,PER
mäkinen,1,PER
putin venemaa,4,PER
vox populi,3,PER
vox popul,4,PER
sinisalu,3,PER
sharif,1,PER
oleg ossinovski,14,PER
jaanus kukele,1,PER
kelder,1,PER
portugal holland,1,PER
terras,2,PER
miloszi,1,PER
teise,1,PER
urmas roosimägi,2,PER
maali,2,PER
aker arctic,1,PER
partsile,1,PER
botnica,2,PER
poska,1,PER
terk,1,PER
postimeeskodanik abruka,1,PER
otsar katrin eino,1,PER
handelsblatt,1,PER
nursipalus,1,PER
edgar savisaarest,14,PER
tunne kelam marju lauristin,1,PER
savisaarte putin,1,PER
rebane,1,PER
brodsky,1,PER
kaar,1,PER
anna-lena,1,PER
meri viimsi,1,PER
maarjamäel,1,PER
reinsalul,1,PER
heldur,74,PER
mari ämari,1,PER
taavi kotka,8,PER
rutt annus,1,PER
siim sikkut,1,PER
skype,12,PER
transfer vaiss,1,PER
martin hirvoja,2,PER
martin hirv,1,PER
anne sullingu,2,PER
marju lauristin edgar savisaar tunne kelam,1,PER
massimo,1,PER
eevald,1,PER
ike,1,PER
tõnu kaalep,1,PER
guardian,4,PER
harjumaakohus,1,PER
hindrek riikoja ignar fjuk,3,PER
porsche,7,PER
vitali klitško,1,PER
julia tõmošenkole,1,PER
korotšenko,2,PER
margot,1,PER
sergei bõstrov,1,PER
lexus lexus,1,PER
aleksei dressen,3,PER
kenya bõstrov,1,PER
ainar ruussaar mart luik,2,PER
oudekki loone,13,PER
svetlana ivnitskaja,1,PER
jaan toom,1,PER
tarandi lauristin,1,PER
poom,2,PER
teet roop korženkov,1,PER
tarassenkov,2,PER
juštšenko,1,PER
tõmošenko,1,PER
fursenko,1,PER
euronewsi,1,PER
terry,3,PER
benfica,1,PER
jaanson,2,PER
erki piirsalu,1,PER
tõnis haavel šarunas,1,PER
harles liiv,1,PER
kaubandus-tööstuskojal,1,PER
toomas tamsar meelis paavel,1,PER
neivelt läti,1,PER
mart luik anu,1,PER
ulla ilissoni,1,PER
priit perens,4,PER
heljo pikhof,3,PER
anvar samost mart luik,4,PER
remo holsmer,20,PER
tony meelis,1,PER
ääs,1,PER
santa,1,PER
miki,6,PER
andrus kaar,1,PER
leedo leedo,2,PER
kersti kaljulaid mart luik,4,PER
susi,3,PER
teliasonera hanson,1,PER
žan claude juncker,1,PER
claude juncker,6,PER
claude junckeri,1,PER
kivimägile riia,1,PER
david cameroni,1,PER
junckeri,5,PER
josé manuel barroso,1,PER
martin schultz,1,PER
junckerile,2,PER
hans luik,8,PER
ifi,2,PER
saleh,1,PER
mart parts,1,PER
hain rebas,1,PER
kaimo,1,PER
olaf,2,PER
sony nokia,1,PER
urho kaleva g,1,PER
zmai,1,PER
siim roode,1,PER
kriisa,2,PER
ivanova,4,PER
ainsalu,1,PER
valeri lõnik,2,PER
anvar samost heldur meerits,5,PER
rannar vassiljev,17,PER
alvar,2,PER
rõivas,10,PER
ants anvar,1,PER
taavi rõiva,7,PER
oliver kond,1,PER
jürisaar,3,PER
toomas annus merko,1,PER
toomas tarm,1,PER
andy coulson,1,PER
phillips,1,PER
hannes astok mart luik,2,PER
abe,1,PER
valgetähe,1,PER
kivirähu,1,PER
ligile,1,PER
figaro,4,PER
mikser,4,PER
stalin meri,1,PER
jan palmer,2,PER
suija,1,PER
nikolai karajev,1,PER
joel volkov,3,PER
tiia-ester loitme,1,PER
juhan volga,1,PER
henrik roonemaa,5,PER
roonemaa,1,PER
ülo nugis,1,PER
marek rait marune,1,PER
jenifer,1,PER
ester tuiksoo kalev kangur toomas annus,1,PER
silver reiljan,1,PER
teet riigikohus,1,PER
stevens,2,PER
stevensi kaali,2,PER
stevens kaali putin,1,PER
stevensi,1,PER
urmas paeti,3,PER
andrus ansip sotši,1,PER
tegelmann,1,PER
rahvaliidu,1,PER
raivo aeg,21,PER
vladimir jakunin,2,PER
deniss boroditšile,1,PER
teder sõõrumaa,1,PER
anvar samost indrek,1,PER
ronald reagan,5,PER
juri andropov,1,PER
mistrali,5,PER
françois hollande,1,PER
aavo kokk,2,PER
heldur meerits anvar samost,1,PER
roo,1,PER
berit,2,PER
raimo poom,2,PER
patrušev bortnikov,1,PER
obamat,3,PER
urmas paetist,1,PER
ramzan kadõrov,1,PER
pavel,1,PER
mistral,4,PER
jürgen jürgen järviku,1,PER
marko kalev,1,PER
balthasar russow,1,PER
juncker junckeri,2,PER
rupp,1,PER
jukos,1,PER
trotski,1,PER
fidel castro,1,PER
voltenberg,1,PER
timo soin,1,PER
urmas roosimäg,1,PER
roosimägi,1,PER
bill,4,PER
paul pierce,1,PER
slawomir,1,PER
lynn,1,PER
vladimir jakunini,1,PER
breznev,1,PER
petseri petseri,2,PER
kruudal,1,PER
bakijev,1,PER
jaanus karilaid,22,PER
hämäläinen,1,PER
business,11,PER
salumäe,1,PER
jones,1,PER
vitali bernatsk,1,PER
bernatsk,2,PER
heili sepp,3,PER
mati alaveri,4,PER
bernatski,1,PER
ants antson,2,PER
raissa smetanina,1,PER
lemberg,1,PER
kristi liiva,3,PER
jaanus marrandi,2,PER
marrandi,1,PER
tomas lopez,1,PER
masing,1,PER
roland ronald reagan,1,PER
artjom troitski,1,PER
artjom,2,PER
wittgensteini,1,PER
nikolaus,1,PER
rait marustet,1,PER
georgi sviridov,2,PER
brita,1,PER
hari,1,PER
hitler,10,PER
mati hind,1,PER
sigrid rausing,3,PER
artic,1,PER
sten sten tamkivi,1,PER
tamberg,2,PER
torres,1,PER
uno loop,2,PER
monty python,3,PER
anveltile,1,PER
swan,1,PER
mistralide,1,PER
full fashion,1,PER
jaan priisalu,1,PER
aslan,1,PER
herman,2,PER
donald taskila,1,PER
radek sikorski,1,PER
maidanile,1,PER
sikorski,2,PER
helle thorning-schmidt,1,PER
mario draghi,1,PER
dombrovskis,2,PER
priit alamäe,3,PER
eerik-niiles kross mart luik,1,PER
veltmann,1,PER
ain berliner kennedy,1,PER
belien,1,PER
tuomioja,7,PER
elmar vaher,42,PER
edward lucas,8,PER
jevgeni,7,PER
annela,1,PER
mui,1,PER
arnold sinisalu,6,PER
airiin,1,PER
luisa,2,PER
preston,1,PER
lefortovo,1,PER
anvar samost mart,1,PER
neinar,2,PER
miil,1,PER
olav miil,1,PER
kalev laanet,1,PER
ville jehe,2,PER
neeme järvil,1,PER
irene,1,PER
fox tv,1,PER
luman,1,PER
aivo adamson,4,PER
land cruiser,1,PER
hanno pipes,1,PER
eerik-niiles kross indrek tarand,1,PER
sereda,1,PER
marina kaljurand,136,PER
johannes kert,5,PER
tarmo kõuts,1,PER
kerttu laaneots,1,PER
fifa,1,PER
gert,5,PER
varro,1,PER
mart juur,7,PER
pitt,1,PER
tiina kangro,19,PER
today,1,PER
rolexi,1,PER
voogla,1,PER
savisaar medvedjev,1,PER
kadri savisaar,1,PER
harry potter,1,PER
seeman,1,PER
jüri rata,11,PER
simson ratas,1,PER
anderson,1,PER
jaanus piir,1,PER
vello salo,1,PER
jaanus jaanus,1,PER
hindrek riikoja mart luik,7,PER
anke,1,PER
väinameri,2,PER
partsil ansip,1,PER
berendson,1,PER
ivor onksion,9,PER
ester tuik,1,PER
lauri laas,3,PER
jüri ratas kuku,1,PER
jevgeni ossinovskile,4,PER
deniss boroditš,2,PER
mart luigel,1,PER
eeri,1,PER
rodriguez,1,PER
apple os,1,PER
väinameri liin,1,PER
signe parm,1,PER
mart postimeest,1,PER
paetil,1,PER
rõivase pevkur,1,PER
paeda,1,PER
heldur meerits mart luik,1,PER
jakko,2,PER
yoko alender,9,PER
maksakov,1,PER
eerik-niiles krossil,2,PER
meerits,17,PER
mari saul,1,PER
lauren,1,PER
elron,8,PER
mehtonen,1,PER
krisostomus,8,PER
urmas paetile,4,PER
toomas hendrik ilves ilves,1,PER
keit pentusel,2,PER
kalle palling,14,PER
kalmer lain,1,PER
priit pullerits,2,PER
priit pulleritsu,1,PER
facebooki facebook,1,PER
policy,1,PER
mail algalar karis,1,PER
gasum,1,PER
balticconnector,1,PER
andres tuvi,1,PER
juri gagarin,1,PER
laika,1,PER
mir,1,PER
twitterite facebook,1,PER
ria novost,1,PER
big train,1,PER
balticconnector soome-eest,1,PER
hindrek riikoja mart,1,PER
heli lääts,2,PER
helgi sallo,2,PER
elroni,3,PER
heldur meerits andres,1,PER
sergei garanža,2,PER
garanža,1,PER
orlov,1,PER
evald okas,1,PER
julia rodin,1,PER
oopkaup,1,PER
eduard vilde,1,PER
mart raudsaar,3,PER
kalle muulit,1,PER
andrei hvostov victoria,1,PER
heidy purga,4,PER
maire aunaste,9,PER
viktoria ladõnskaja,9,PER
aunaste,5,PER
ove sander,2,PER
pantšenko,1,PER
liina karron kangro,1,PER
anders tsahkna,1,PER
platform,1,PER
rosimannus pentus-rosimannus,1,PER
aadu luukas,2,PER
mati kaal,4,PER
evar vooglaid,1,PER
sigrid,1,PER
indrek tederiga,1,PER
lembit ulfsak,2,PER
priit toobali,10,PER
gmail,1,PER
oleg ossinovsk,9,PER
andrei filatov,1,PER
indrek saart,1,PER
sinne,1,PER
skinest grupp,1,PER
partõka,1,PER
kahro,1,PER
peeter tali,2,PER
vitsur,1,PER
peeter päll,1,PER
václav,1,PER
neinar selile,1,PER
lauri saatpalu,1,PER
hando runnel,2,PER
münchhausen,1,PER
uno,2,PER
vladimir veitman,2,PER
pekka erelt,1,PER
endel puusepp,1,PER
raivo aegi,2,PER
veitman,2,PER
vahur kersna,4,PER
maire aunaste viktoria ladõnskaja,2,PER
vaher kiisler,1,PER
tiit matsulevitš,2,PER
reinsalu urmas,1,PER
raissa,1,PER
nurmi vaher,1,PER
evelin ilves,9,PER
peeter kaljuste,1,PER
lauri liiv,1,PER
marika vaarik,2,PER
maire aunastest,1,PER
jaan poska,1,PER
viktor orban,2,PER
orban,1,PER
keller,1,PER
tiit land,6,PER
andrei ivanov,6,PER
ivan o,1,PER
giselle,1,PER
jannsen,2,PER
keit pentus-rosimannus arto aas,1,PER
nikolai novosjolov,1,PER
deniss boroditš asmer,1,PER
raidma,1,PER
mõis,7,PER
marune hanson,1,PER
liina kersna,11,PER
aleksandra,1,PER
erik niile,1,PER
rõivase rõivase,1,PER
rosneft,1,PER
elgula lunge,1,PER
toomas ilves,1,PER
putin merkel,1,PER
annus horry vilis,1,PER
peeter helme,3,PER
janno reiljan,1,PER
andres kuusk,1,PER
ilmar raa,3,PER
luisa värk,3,PER
märt sults,9,PER
erkki tuomioja,2,PER
twitteri stalin,1,PER
tanja mihhailova,2,PER
eurovisionile,1,PER
charlie hebdo,4,PER
hanno pevkuri,6,PER
jevgenia,1,PER
tinni,1,PER
johannes hahn,1,PER
priit hõbemägiküla,2,PER
easy,1,PER
creme,1,PER
rein ojamaavara,1,PER
indrek tarand mart luik,3,PER
ivar vigla,1,PER
extra extra,2,PER
mart laanemäe,1,PER
ariel,2,PER
jaana toom,6,PER
lauristin kaja kallas,1,PER
rait,3,PER
christie ahti,1,PER
must,1,PER
ivika nõgel,1,PER
tõnis kõivu,1,PER
guantanamos,1,PER
abdelkader,1,PER
guantanamo,3,PER
siemensi,1,PER
skype gigi,1,PER
doris,3,PER
emil rutiku merle jääger,1,PER
mihkel rauda,1,PER
gennadi,1,PER
tarmo tamm,4,PER
valeri korb,1,PER
kaia iva,18,PER
nestor pikkov,1,PER
kalev kallemets,2,PER
tarmo mänd,2,PER
viktor vassiljev,7,PER
malle pajula,1,PER
vassiljev kai,1,PER
helmi,3,PER
vassiljev mengele,1,PER
urmo soonvald,4,PER
apollo,1,PER
keit rosimannus,2,PER
linnar joel,1,PER
linnar priimägi,4,PER
joel steinfeldt,2,PER
ain kaalep,1,PER
hasso krull,1,PER
kadri kadri,1,PER
vili savisaar toomast,1,PER
rene toomse eino,1,PER
tiit pruuli,2,PER
rožok,1,PER
lextali,1,PER
allar tankler,5,PER
harri tiido rein lang,1,PER
rõivase,2,PER
anneli massa,1,PER
risto boriss,1,PER
sami lotila,3,PER
õhtulehe,1,PER
elinor avanti,1,PER
risto teinonen,1,PER
eddy ilvest,1,PER
risto vuorinen,4,PER
iivi anna,1,PER
kärbergi sandberg,1,PER
elina,1,PER
schilling,1,PER
imbi paju,4,PER
inimimbi paju,1,PER
iivi masso,3,PER
randy,1,PER
meri eesti,1,PER
egert,1,PER
richard williams villem,1,PER
richard villems,1,PER
kristiina ehin,5,PER
varro vooglaiu,1,PER
nugin,1,PER
andro küün,1,PER
lichtenstein,1,PER
ossinovskile eiki nestor,1,PER
lotman lotman,1,PER
donetski,1,PER
märtin,1,PER
pendli felix,1,PER
nastja,1,PER
ivo linn,2,PER
palla,1,PER
aare targa,1,PER
gildi,2,PER
reet linna,1,PER
marek helmi,7,PER
marek helm,7,PER
marcialonga,1,PER
helm,1,PER
lasse lehis kuku,1,PER
marko mäetamm,2,PER
kitam,1,PER
jaan pehk,2,PER
jürgenson,1,PER
jüri adams monika haukanõmm,1,PER
jüri adams andres herkel,1,PER
aivar joonas,1,PER
villu kangur,1,PER
team,1,PER
johan cruyff,1,PER
sester,8,PER
kiislerile,2,PER
kaplinski dino,1,PER
madissoni,3,PER
jaak madissonile,1,PER
jaak madison,4,PER
price,1,PER
royal bank,1,PER
soidla,1,PER
lensin,1,PER
anna masso,1,PER
agass,1,PER
kristeligt,1,PER
hando sutter,4,PER
erin,1,PER
mart pukk,3,PER
herbert,1,PER
kerryl,1,PER
tõnu kauba,2,PER
toomas savi,7,PER
margarita,2,PER
kalev lillole,1,PER
kadri must,1,PER
sands,1,PER
märt ots,1,PER
järvasiis,1,PER
toomas peterson,2,PER
uno puu,1,PER
helger,1,PER
sumberg,1,PER
tarmo sumberg,1,PER
jaak madisson,10,PER
ahti asmanni,1,PER
ahti asmann,3,PER
parbo juchnewitsch,1,PER
jake,1,PER
jaak madisoni,2,PER
arto aas,11,PER
nabalas nabala,1,PER
kalev lillolt,1,PER
miguel,1,PER
kunder,1,PER
tsipras,7,PER
eppink,1,PER
alo heinsalul,1,PER
toomas-hendrik ilves,1,PER
nicolas sarkozy,1,PER
hillary clinton,28,PER
monica lewinsky,1,PER
eero raun,1,PER
camp,1,PER
ruta arumägi,1,PER
rotaru,1,PER
ruta arumäe,5,PER
rain rosin,1,PER
ruta ruta arumäe,1,PER
lauri lauri,1,PER
margarita kozlova,1,PER
kormašov,1,PER
koržakov,1,PER
mai kaare,1,PER
ekke,3,PER
timo soini,4,PER
nilsson,22,PER
härra nilsson,3,PER
transparency,1,PER
primakov,1,PER
silvia,1,PER
sol,1,PER
mikseri,1,PER
gerhard schindler,1,PER
ossinovskile,4,PER
pip,2,PER
selänne,1,PER
pabriks,1,PER
the telegraph,1,PER
bardot,1,PER
kadri savva,1,PER
alo tv,1,PER
aune annus,1,PER
eero epner,5,PER
art aas,1,PER
raidma rask marune,1,PER
raivo vare,3,PER
siiner,1,PER
dorian grey,1,PER
kranich kannik,1,PER
edgar savisaartel,1,PER
paeti,2,PER
karolin kuusik,1,PER
jakin,1,PER
kajar lember,9,PER
vadim belobrovtsev,3,PER
laas toobal,1,PER
anett vaikma,1,PER
olav osolini,1,PER
aristoteles,1,PER
heldur meerits ignar fjuk,1,PER
laane,2,PER
heinrich mann,1,PER
eiki nestorile,4,PER
tiit pruul,2,PER
alanko,1,PER
sõerd sulling,1,PER
facebookile,4,PER
sander kiik,1,PER
sander kilk,2,PER
andres metsoja,1,PER
kaspar koka,1,PER
witold,1,PER
kiris,1,PER
vincent,1,PER
verni loodmaa,1,PER
urmas sukles,3,PER
rainer kattel,3,PER
kattel,1,PER
mart saarma,1,PER
timo timo soini,1,PER
hindrek riikoja heldur meerits,1,PER
taavi rõivasel,6,PER
exel,1,PER
tõnu aare,5,PER
võrno,4,PER
hannes valdma,1,PER
toomet,2,PER
ülle kukk,1,PER
ahto lobjaka,1,PER
selart,1,PER
kersna,1,PER
leedole leedo,1,PER
harrington,1,PER
kalmer tennosaar,1,PER
beekman,2,PER
priit mui,1,PER
leon glikmani,1,PER
mare liiger,1,PER
carmen reinhard,1,PER
ruslan,1,PER
jüri böömisugune,1,PER
sõrmuste,1,PER
christian veske,1,PER
liisa pakostat,1,PER
köök,1,PER
kalju kaljurand,1,PER
arno,1,PER
robert kitt,22,PER
mystery,1,PER
reagan,1,PER
amber,1,PER
janukov,1,PER
dmõtro firtaš,1,PER
syriza,4,PER
rõivasel,1,PER
stiglitz,1,PER
saksama,1,PER
merkel hollande tsipras,1,PER
federer,2,PER
raisio,1,PER
kiisleri,1,PER
katri raik,1,PER
georg harrison,1,PER
urve lippus,1,PER
kald,1,PER
tsahkna pevkur,1,PER
margus luik,1,PER
endel lippmaale,1,PER
molotov-ribbentropp,1,PER
endel lippmaal,1,PER
tiit kändler,1,PER
costa,2,PER
urmas laht,7,PER
mati karmin,1,PER
darja saar,7,PER
darja saare,1,PER
darja,1,PER
beer,1,PER
kristina kallas,5,PER
jean-claude juncker,2,PER
mustafa,1,PER
margus tamm,1,PER
margus tsahknal,1,PER
inara luigas,2,PER
aime,1,PER
